period,frame,count,total_videos_in_period,prevalence
2024-03,Geopolitics,19,214,0.088785
2024-03,Knowledge/Facts,93,214,0.434579
2024-03,Indigenous Life,38,214,0.177570
2024-03,Climate Change,6,214,0.028037
2024-04,Nature/Tourism,94,246,0.382114
2024-04,Geopolitics,16,246,0.065041
2024-04,Knowledge/Facts,102,246,0.414634
2024-04,Indigenous Life,28,246,0.113821
2024-04,Climate Change,6,246,0.024390
2024-05,Nature/Tourism,114,276,0.413043
2024-05,Geopolitics,9,276,0.032609
2024-05,Knowledge/Facts,115,276,0.416667
2024-05,Indigenous Life,35,276,0.126812
2024-05,Climate Change,3,276,0.010870
2024-06,Nature/Tourism,103,247,0.417004
2024-06,Geopolitics,9,247,0.036437
2024-06,Knowledge/Facts,101,247,0.408907
2024-06,Indigenous Life,32,247,0.129555
2024-06,Climate Change,2,247,0.008097
2024-07,Nature/Tourism,133,250,0.532000
2024-07,Geopolitics,10,250,0.040000
2024-07,Knowledge/Facts,80,250,0.320000
2024-07,Indigenous Life,24,250,0.096000
2024-07,Climate Change,3,250,0.012000
2024-08,Nature/Tourism,130,288,0.451389
2024-08,Geopolitics,7,288,0.024306
2024-08,Knowledge/Facts,108,288,0.375000
2024-08,Indigenous Life,36,288,0.125000
2024-08,Climate Change,7,288,0.024306
2024-09,Nature/Tourism,141,302,0.466887
2024-09,Geopolitics,11,302,0.036424
2024-09,Knowledge/Facts,90,302,0.298013
2024-09,Indigenous Life,32,302,0.105960
2024-09,Climate Change,28,302,0.092715
2024-10,Nature/Tourism,109,272,0.400735
2024-10,Geopolitics,11,272,0.040441
2024-10,Knowledge/Facts,96,272,0.352941
2024-10,Indigenous Life,46,272,0.169118
2024-10,Climate Change,10,272,0.036765
2024-11,Nature/Tourism,95,233,0.407725
2024-11,Geopolitics,19,233,0.081545
2024-11,Knowledge/Facts,85,233,0.364807
2024-11,Indigenous Life,29,233,0.124464
2024-11,Climate Change,5,233,0.021459
2024-12,Nature/Tourism,72,287,0.250871
2024-12,Geopolitics,113,287,0.393728
2024-12,Knowledge/Facts,74,287,0.257840
2024-12,Indigenous Life,23,287,0.080139
2024-12,Climate Change,5,287,0.017422
2025-01,Nature/Tourism,32,465,0.068817
2025-01,Geopolitics,343,465,0.737634
2025-01,Knowledge/Facts,73,465,0.156989
2025-01,Indigenous Life,15,465,0.032258
2025-01,Climate Change,2,465,0.004301
2025-02,Nature/Tourism,38,262,0.145038
2025-02,Geopolitics,134,262,0.511450
2025-02,Knowledge/Facts,72,262,0.274809
2025-02,Indigenous Life,15,262,0.057252
2025-02,Climate Change,3,262,0.011450
2025-03,Nature/Tourism,45,621,0.072464
2025-03,Geopolitics,455,621,0.732689
2025-03,Knowledge/Facts,82,621,0.132045
2025-03,Indigenous Life,35,621,0.056361
2025-03,Climate Change,4,621,0.006441
2025-04,Nature/Tourism,46,281,0.163701
2025-04,Geopolitics,122,281,0.434164
2025-04,Knowledge/Facts,93,281,0.330961
2025-04,Indigenous Life,18,281,0.064057
2025-04,Climate Change,2,281,0.007117
2025-05,Nature/Tourism,70,341,0.205279
2025-05,Geopolitics,114,341,0.334311
2025-05,Knowledge/Facts,128,341,0.375367
2025-05,Indigenous Life,25,341,0.073314
2025-05,Climate Change,4,341,0.011730
2025-06,Nature/Tourism,80,297,0.269360
2025-06,Geopolitics,68,297,0.228956
2025-06,Knowledge/Facts,103,297,0.346801
2025-06,Indigenous Life,37,297,0.124579
2025-06,Climate Change,9,297,0.030303
2025-07,Nature/Tourism,100,272,0.367647
2025-07,Geopolitics,39,272,0.143382
2025-07,Knowledge/Facts,89,272,0.327206
2025-07,Indigenous Life,36,272,0.132353
2025-07,Climate Change,8,272,0.029412
2025-08,Nature/Tourism,121,325,0.372308
2025-08,Geopolitics,79,325,0.243077
2025-08,Knowledge/Facts,84,325,0.258462
2025-08,Indigenous Life,30,325,0.092308
2025-08,Climate Change,11,325,0.033846
2025-09,Nature/Tourism,88,273,0.322344
2025-09,Geopolitics,51,273,0.186813
2025-09,Knowledge/Facts,79,273,0.289377
2025-09,Indigenous Life,49,273,0.179487
2025-09,Climate Change,6,273,0.021978
2025-10,Nature/Tourism,83,250,0.332000
2025-10,Geopolitics,41,250,0.164000
2025-10,Knowledge/Facts,99,250,0.396000
2025-10,Indigenous Life,24,250,0.096000
