period,frame,count,total_videos_in_period,prevalence
2025-11/12,Nature/Tourism,119,547,0.217550
2025-11/12,Geopolitics,182,547,0.332724
2025-11/12,Knowledge/Facts,174,547,0.318099
2025-11/12,Indigenous Life,61,547,0.111517
2025-11/12,Climate Change,11,547,0.020110
2026-01/02,Nature/Tourism,316,3740,0.084492
2026-01/02,Geopolitics,2710,3740,0.724599
2026-01/02,Knowledge/Facts,538,3740,0.143850
2026-01/02,Indigenous Life,141,3740,0.037701
2026-01/02,Climate Change,35,3740,0.009358
2026-03/04,Nature/Tourism,682,4169,0.163588
2026-03/04,Geopolitics,2121,4169,0.508755
2026-03/04,Knowledge/Facts,964,4169,0.231231
2026-03/04,Indigenous Life,316,4169,0.075798
2026-03/04,Climate Change,86,4169,0.020628
