date,frame,count,total_videos_in_date,prevalence
2025-02-01,"Knowledge, facts & educational content",20,244,0.081967
2025-02-01,Climate change & environmental risk,32,244,0.131148
2025-03-01,"Entertainment, memes & low-context content",228,581,0.392427
2025-03-01,"Nature, landscape & tourism",63,581,0.108434
2025-03-01,Geopolitics & strategic competition,167,581,0.287435
2025-03-01,"Society, culture & everyday life",45,581,0.077453
2025-03-01,"Knowledge, facts & educational content",40,581,0.068847
2025-03-01,Climate change & environmental risk,38,581,0.065404
2025-04-01,"Entertainment, memes & low-context content",89,269,0.330855
2025-04-01,"Nature, landscape & tourism",35,269,0.130112
2025-04-01,Geopolitics & strategic competition,63,269,0.234201
2025-04-01,"Society, culture & everyday life",28,269,0.104089
2025-04-01,"Knowledge, facts & educational content",28,269,0.104089
2025-04-01,Climate change & environmental risk,26,269,0.096654
2025-05-01,"Entertainment, memes & low-context content",116,330,0.351515
2025-05-01,"Nature, landscape & tourism",49,330,0.148485
2025-05-01,Geopolitics & strategic competition,86,330,0.260606
2025-05-01,"Society, culture & everyday life",28,330,0.084848
2025-05-01,"Knowledge, facts & educational content",29,330,0.087879
2025-05-01,Climate change & environmental risk,22,330,0.066667
2025-06-01,"Entertainment, memes & low-context content",111,309,0.359223
2025-06-01,"Nature, landscape & tourism",51,309,0.165049
2025-06-01,Geopolitics & strategic competition,77,309,0.249191
2025-06-01,"Society, culture & everyday life",25,309,0.080906
2025-06-01,"Knowledge, facts & educational content",30,309,0.097087
2025-06-01,Climate change & environmental risk,15,309,0.048544
2025-07-01,"Entertainment, memes & low-context content",60,251,0.239044
2025-07-01,"Nature, landscape & tourism",71,251,0.282869
2025-07-01,Geopolitics & strategic competition,57,251,0.227092
2025-07-01,"Society, culture & everyday life",27,251,0.107570
2025-07-01,"Knowledge, facts & educational content",30,251,0.119522
2025-07-01,Climate change & environmental risk,6,251,0.023904
2025-08-01,"Entertainment, memes & low-context content",90,323,0.278638
2025-08-01,"Nature, landscape & tourism",86,323,0.266254
2025-08-01,Geopolitics & strategic competition,74,323,0.229102
2025-08-01,"Society, culture & everyday life",34,323,0.105263
2025-08-01,"Knowledge, facts & educational content",27,323,0.083591
2025-08-01,Climate change & environmental risk,12,323,0.037152
2025-09-01,"Entertainment, memes & low-context content",59,239,0.246862
2025-09-01,"Nature, landscape & tourism",55,239,0.230126
2025-09-01,Geopolitics & strategic competition,52,239,0.217573
2025-09-01,"Society, culture & everyday life",18,239,0.075314
2025-09-01,"Knowledge, facts & educational content",36,239,0.150628
2025-09-01,Climate change & environmental risk,19,239,0.079498
2025-10-01,"Entertainment, memes & low-context content",73,227,0.321586
2025-10-01,"Nature, landscape & tourism",41,227,0.180617
2025-10-01,Geopolitics & strategic competition,48,227,0.211454
2025-10-01,"Society, culture & everyday life",17,227,0.074890
2025-10-01,"Knowledge, facts & educational content",37,227,0.162996
2025-10-01,Climate change & environmental risk,11,227,0.048458
2025-11-01,"Entertainment, memes & low-context content",71,242,0.293388
2025-11-01,"Nature, landscape & tourism",52,242,0.214876
2025-11-01,Geopolitics & strategic competition,39,242,0.161157
2025-11-01,"Society, culture & everyday life",37,242,0.152893
2025-11-01,"Knowledge, facts & educational content",34,242,0.140496
2025-11-01,Climate change & environmental risk,9,242,0.037190
2025-12-01,"Entertainment, memes & low-context content",77,270,0.285185
2025-12-01,"Nature, landscape & tourism",87,270,0.322222
2025-12-01,Geopolitics & strategic competition,45,270,0.166667
2025-12-01,"Society, culture & everyday life",23,270,0.085185
2025-12-01,"Knowledge, facts & educational content",19,270,0.070370
2025-12-01,Climate change & environmental risk,19,270,0.070370
2026-01-01,"Entertainment, memes & low-context content",454,1389,0.326854
2026-01-01,"Nature, landscape & tourism",180,1389,0.129590
2026-01-01,Geopolitics & strategic competition,371,1389,0.267099
2026-01-01,"Society, culture & everyday life",135,1389,0.097192
2026-01-01,"Knowledge, facts & educational content",84,1389,0.060475
2026-01-01,Climate change & environmental risk,165,1389,0.118790
2026-02-01,"Entertainment, memes & low-context content",629,2090,0.300957
2026-02-01,"Nature, landscape & tourism",337,2090,0.161244
2026-02-01,Geopolitics & strategic competition,518,2090,0.247847
2026-02-01,"Society, culture & everyday life",189,2090,0.090431
2026-02-01,"Knowledge, facts & educational content",233,2090,0.111483
2026-02-01,Climate change & environmental risk,184,2090,0.088038
2026-03-01,"Entertainment, memes & low-context content",767,2616,0.293196
2026-03-01,"Nature, landscape & tourism",553,2616,0.211391
2026-03-01,Geopolitics & strategic competition,564,2616,0.215596
2026-03-01,"Society, culture & everyday life",254,2616,0.097095
2026-03-01,"Knowledge, facts & educational content",266,2616,0.101682
2026-03-01,Climate change & environmental risk,212,2616,0.081040
2026-04-01,"Entertainment, memes & low-context content",398,1517,0.262360
2026-04-01,"Nature, landscape & tourism",466,1517,0.307185
2026-04-01,Geopolitics & strategic competition,325,1517,0.214239
2026-04-01,"Society, culture & everyday life",136,1517,0.089651
2026-04-01,"Knowledge, facts & educational content",139,1517,0.091628
2026-04-01,Climate change & environmental risk,53,1517,0.034937
