date,frame,count,total_videos_in_date,prevalence
2020-10-01,Educational and facts,8,102,0.078431
2020-10-01,Indigenous culture,11,102,0.107843
2020-10-01,Climate change,15,102,0.147059
2020-11-01,Nature and travel,49,95,0.515789
2020-11-01,Geopolitical frame,5,95,0.052632
2020-11-01,Educational and facts,24,95,0.252632
2020-11-01,Indigenous culture,11,95,0.115789
2020-11-01,Climate change,6,95,0.063158
2020-12-01,Nature and travel,64,102,0.627451
2020-12-01,Geopolitical frame,6,102,0.058824
2020-12-01,Educational and facts,10,102,0.098039
2020-12-01,Indigenous culture,14,102,0.137255
2020-12-01,Climate change,8,102,0.078431
2021-01-01,Nature and travel,69,112,0.616071
2021-01-01,Geopolitical frame,6,112,0.053571
2021-01-01,Educational and facts,19,112,0.169643
2021-01-01,Indigenous culture,15,112,0.133929
2021-01-01,Climate change,3,112,0.026786
2021-02-01,Nature and travel,61,115,0.530435
2021-02-01,Geopolitical frame,13,115,0.113043
2021-02-01,Educational and facts,17,115,0.147826
2021-02-01,Indigenous culture,15,115,0.130435
2021-02-01,Climate change,9,115,0.078261
2021-03-01,Nature and travel,76,146,0.520548
2021-03-01,Geopolitical frame,10,146,0.068493
2021-03-01,Educational and facts,21,146,0.143836
2021-03-01,Indigenous culture,17,146,0.116438
2021-03-01,Climate change,22,146,0.150685
2021-04-01,Nature and travel,77,141,0.546099
2021-04-01,Geopolitical frame,13,141,0.092199
2021-04-01,Educational and facts,24,141,0.170213
2021-04-01,Indigenous culture,7,141,0.049645
2021-04-01,Climate change,20,141,0.141844
2021-05-01,Nature and travel,86,159,0.540881
2021-05-01,Geopolitical frame,9,159,0.056604
2021-05-01,Educational and facts,37,159,0.232704
2021-05-01,Indigenous culture,12,159,0.075472
2021-05-01,Climate change,15,159,0.094340
2021-06-01,Nature and travel,73,119,0.613445
2021-06-01,Geopolitical frame,11,119,0.092437
2021-06-01,Educational and facts,24,119,0.201681
2021-06-01,Indigenous culture,9,119,0.075630
2021-06-01,Climate change,2,119,0.016807
2021-07-01,Nature and travel,85,151,0.562914
2021-07-01,Geopolitical frame,10,151,0.066225
2021-07-01,Educational and facts,26,151,0.172185
2021-07-01,Indigenous culture,11,151,0.072848
2021-07-01,Climate change,19,151,0.125828
2021-08-01,Nature and travel,66,163,0.404908
2021-08-01,Geopolitical frame,7,163,0.042945
2021-08-01,Educational and facts,36,163,0.220859
2021-08-01,Indigenous culture,17,163,0.104294
2021-08-01,Climate change,37,163,0.226994
2021-09-01,Nature and travel,86,152,0.565789
2021-09-01,Geopolitical frame,8,152,0.052632
2021-09-01,Educational and facts,33,152,0.217105
2021-09-01,Indigenous culture,12,152,0.078947
2021-09-01,Climate change,13,152,0.085526
2021-10-01,Nature and travel,81,154,0.525974
2021-10-01,Geopolitical frame,15,154,0.097403
2021-10-01,Educational and facts,32,154,0.207792
2021-10-01,Indigenous culture,16,154,0.103896
2021-10-01,Climate change,10,154,0.064935
2021-11-01,Nature and travel,65,146,0.445205
2021-11-01,Geopolitical frame,14,146,0.095890
2021-11-01,Educational and facts,32,146,0.219178
2021-11-01,Indigenous culture,18,146,0.123288
2021-11-01,Climate change,17,146,0.116438
